horizon_min,validation_year,top_k,long_threshold,short_threshold,cost_bps,auc,trades,compound,profit_factor,win_rate,max_drawdown,selected_features
15,2022,10,0.5,0.5,5,0.5168808555633486,14368,-0.9992155265236082,0.2844434847635147,0.27589086859688194,-0.9992148127026078,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m|momentum_15m|return_15m|return_5m|momentum_5m|momentum_60m
15,2022,10,0.55,0.45,0,0.5168808555633486,813,0.01104752977758272,1.0207648088431653,0.5301353013530136,-0.06893404180229068,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m|momentum_15m|return_15m|return_5m|momentum_5m|momentum_60m
15,2022,10,0.55,0.45,1,0.5168808555633486,813,-0.06790095969415111,0.8961248511197405,0.5116851168511685,-0.10281773190392085,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m|momentum_15m|return_15m|return_5m|momentum_5m|momentum_60m
15,2022,10,0.55,0.45,2,0.5168808555633486,813,-0.14069167800913718,0.7860055905565466,0.48093480934809346,-0.14146515016126482,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m|momentum_15m|return_15m|return_5m|momentum_5m|momentum_60m
15,2022,10,0.55,0.45,5,0.5168808555633486,813,-0.32673088460265165,0.5277514539780117,0.4145141451414514,-0.3259227929086058,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m|momentum_15m|return_15m|return_5m|momentum_5m|momentum_60m
15,2022,10,0.6,0.4,0,0.5168808555633486,109,-0.007450861729129121,0.946137615670372,0.5504587155963303,-0.03631613013160018,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m|momentum_15m|return_15m|return_5m|momentum_5m|momentum_60m
15,2022,10,0.6,0.4,1,0.5168808555633486,109,-0.018212214901494828,0.8673590495959024,0.5321100917431193,-0.03978289877130181,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m|momentum_15m|return_15m|return_5m|momentum_5m|momentum_60m
15,2022,10,0.6,0.4,2,0.5168808555633486,109,-0.028857950935591847,0.7943687452193585,0.5321100917431193,-0.04356330392722518,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m|momentum_15m|return_15m|return_5m|momentum_5m|momentum_60m
15,2022,10,0.6,0.4,5,0.5168808555633486,109,-0.06011369924929244,0.6063178117084009,0.47706422018348627,-0.0632465428278639,distance_high_60|distance_sma_60|distance_sma_15|momentum_30m|return_30m|momentum_15m|return_15m|return_5m|momentum_5m|momentum_60m
15,2023,3,0.5,0.5,0,0.5120360720083944,14291,0.06014678330501466,1.014247862346726,0.5097613882863341,-0.12814736683908512,distance_sma_60|distance_high_60|distance_sma_15
15,2023,3,0.5,0.5,1,0.5120360720083944,14291,-0.7460858105990871,0.7429470059578969,0.4479042754180953,-0.7474026149854529,distance_sma_60|distance_high_60|distance_sma_15
15,2023,3,0.5,0.5,2,0.5120360720083944,14291,-0.9391940798055788,0.5451100699085851,0.3866069554264922,-0.9393337659874362,distance_sma_60|distance_high_60|distance_sma_15
